time,"# warm-ups since codes cleared ()","Absolute load value (%)","Absolute throttle position B (%)","Accelerator Pedal Angle (%)","Accumulated Time of Battery LOW (sec.)","Accumulated Time of Battery Too High (sec.)","Accumulated Time of DC Inhibit (sec.)","Accumulated Time of Hot Temperature (sec.)","Aircon Gate Status ()","Aircon Request ()","Altitude (GPS) (m)","Ambient air temperature (℃)","Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Barometric pressure (kPa)","Battery Power (hp) ()","Battery power (kW) ()","Brake - Friction Pad Torque (N⋅m)","Brake - Master Cylinder Torque (N⋅m)","Brake - Regenerative Torque (N⋅m)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1 (℃)","Catalyst temperature Bank 1 Sensor 2 (℃)","Check Mode ()","Combined Power (hp) ()","Control module voltage (V)","Converter Carrier Frequency ()","Converter Gate Status ()","Converter Temperature (℃)","Crank Position (°)","Discharge Request to Adjust SOC (W) ()","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (total) (km)","Drive Condition ID ()","Driving Pattern 1 ()","Driving Pattern 2 ()","Driving Pattern 3 ()","Engine coolant temperature (℃)","Engine Idling Request ()","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Engine Speed (rpm)","Engine Stop Inhibit Request ()","Engine Stop Request ()","Engine Warming Up Request ()","Friction Brake Power (hp) ()","Friction Brake Power (kW) ()","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price (PLN)","Fuel used price (total) (PLN)","Fuel/Air commanded equivalence ratio ()","HV Battery Block # with Max V ()","HV Battery Block # with Min V ()","HV Battery Block Count ()","HV Battery Block Highest Volt (V)","HV Battery Block Lowest Volt (V)","HV Battery Block-01 Voltage (V)","HV Battery Block-02 Voltage (V)","HV Battery Block-03 Voltage (V)","HV Battery Block-04 Voltage (V)","HV Battery Block-05 Voltage (V)","HV Battery Block-06 Voltage (V)","HV Battery Block-07 Voltage (V)","HV Battery Block-08 Voltage (V)","HV Battery Block-09 Voltage (V)","HV Battery Block-10 Voltage (V)","HV Battery Block-11 Voltage (V)","HV Battery Block-12 Voltage (V)","HV Battery Block-13 Voltage (V)","HV Battery Block-14 Voltage (V)","HV Battery Current (mA)","HV Battery Power (hp) ()","HV Battery State of Charge (%)","HVAC OBD Request ()","ICE Actual RPM (rpm)","ICE Power Request (hp) ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Internal Resistance R01 (mOhm)","Internal Resistance R02 (mOhm)","Internal Resistance R03 (mOhm)","Internal Resistance R04 (mOhm)","Internal Resistance R05 (mOhm)","Internal Resistance R07 (mOhm)","Internal Resistance R08 (mOhm)","Internal Resistance R08 (mOhm)","Internal Resistance R09 (mOhm)","Internal Resistance R10 (mOhm)","Internal Resistance R11 (mOhm)","Internal Resistance R12 (mOhm)","Internal Resistance R13 (mOhm)","Internal Resistance R14 (mOhm)","Loading Condition ()","Long term fuel % trim - Bank 1 (%)","MAF air flow rate (kg/hour)","Main Battery Charging Request ()","Master Cylinder Torque (N⋅m)","MG1 Gate Status ()","MG1 Inverter Temperature (℃)","MG1 Power (hp) ()","MG1 Revolution (rpm)","MG1 Torque (N⋅m)","MG1 Torque (N⋅m)","MG2 Gate Status ()","MG2 Inverter Temperature (℃)","MG2 Power (hp) ()","MG2 Revolution (rpm)","MG2 Torque (N⋅m)","MG2 Torque (N⋅m)","Motor (MG1) Torque Execute Value (N⋅m)","Motor (MG2) Torque Execute Value (N⋅m)","Motor Temperature No1 (℃)","Motor Temperature No2 (℃)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 1 Wide Range Voltage (V)","Oxygen sensor 2 Bank 1 Voltage (V)","Power from MAF (hp)","Power Request (W) ()","Power Resource IB (mA)","Power Resource VB (V)","Raising Pressure Ratio (%)","Regenerative Brake Torque (N⋅m)","Relative throttle position (%)","Request Regenerative Brake Torque (N⋅m)","Shift Sensor Main (V)","Shift Sensor Select Main (V)","Shift Sensor Select Sub (V)","Shift Sensor Shift Position ()","Shift Sensor Sub (V)","Short Circuit Wave Highest Value (V)","Short term fuel % trim - Bank 1 (%)","Smart Key Status ()","Speed (GPS) (km/h)","State Of Charge (%)","System Main Relay 1 Status ()","System Main Relay 2 Status ()","System Main Relay 3 Status ()","Target Engine Speed (rpm)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)","VH-Voltage After Boosted (V)","VL-Voltage Before Boosted (V)","WIN HV Batt to Converter (kW) ()","WOUT HV Batt to Converter (kW) ()",Latitude,Longtitude,
16:44:55.430,,,,,,,,,,,81.0967674255371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3967912514328,16.8023145664713,
16:44:55.632,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22756499860218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.71467511407902,,,,,,,,,,,,,,,,,,23.904,,,,,,,,,,,,,,,,,,,,14.7964467,3.298026,,7.968,,,,,,,,,,,,,,,,,,,,,,19.6078431372549,,,0,,,,,52.3967912514328,16.8023145664713,
16:44:55.707,,,,,,,,,,,81.0953025817871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3967927550815,16.8023160126608,
16:44:55.721,,,,,,,,,,,,,,7.96785944606362,,,,,,,,,,,,,2.19638071193041,,,,,,,,,,,,,0,9.88557062394445,,,,,,,,,,,,,,,1,5.18672254593599E-05,0.787668372757248,0.000311203352756159,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,8.59267601318663,,,,,,,,,,,,,,,,,,23.724,,,,,,,,,,,,,,,,,,,,14.8090005,3.302906,,7.908,,,,,,,,,,,,,,,,,,,,,,19.6078431372549,,,0,,,,,52.3967927550815,16.8023160126608,
16:44:55.812,,,,,,,,,,,,,,7.9684330620762,,0,,,,,,,,,,,2.25113006791848,,,,,,,,,,,,,0,9.88557062394445,,,,,,,,,,,,,,,1,0.000108572441493537,0.787725077973283,0.000651434648961223,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,8.80686632881852,,,,,,,,,,,,,,,,,,24.336,,,,,,,,,,,,,,,,,,,,14.7498183,3.279726,,8.112,,,,,,,,,,,,,,,,,,,,,,19.6078431372549,,,0,,,,,52.3967927550815,16.8023160126608,
16:44:55.902,,,,,,,,,,,,,,7.96899070031231,,0,,,,,,,,,,,2.22004127870864,,,,,,,,,,,,,0,9.88557062394445,,,,,,,,,,,,,,,1,0.000163698163149525,0.787780203694939,0.000982188978897148,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68524083289633,,,,,,,,,,,,,,,,,,23.904,,,,,,,,,,,,,,,,,,,,14.64983625,3.239466,,7.968,,,,,,,,,,,,,,,,,,,,,,19.6078431372549,,,0,,,,,52.3967927550815,16.8023160126608,
16:44:55.992,,,,,,,,,,,,,,7.96956546584713,,0,,,,,,,,,,,2.25539011676059,,,,,,,,,,,,,0,9.88557062394445,,,,,,,,,,,,,,,1,0.00022051701601629,0.787837022547805,0.00132310209609774,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82353248296097,,,,,,,,,,,,,,,,,,24.12,,,,,,,,,,,,,,,,,,,,14.62203855,3.237026,,8.04,,,,,,,,,,,,,,,,,,,,,,19.6078431372549,,0,0,,,,,52.3967927550815,16.8023160126608,
16:44:56.082,,,,,,,,,,,,,,7.97014774313475,,0,,,,,,,,,,,2.28665902664825,,,,,,,,,,,,,0,9.88557062394445,,,,,,,,,,,,,,,1,0.000278078448511044,0.7878945839803,0.00166847069106626,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94586264662102,,,,,,,,,,,,,,,,,,24.408,,,,,,,,,,,,,,,,,,,,14.6287638,3.237026,,8.136,,,,,,,,,,,,,,,,,,,,,,19.6078431372549,,0,0,,,,,52.3967927550815,16.8023160126608,
16:44:56.098,,,,,,,,,,,81.0943870544434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3967913187871,16.802314711316,
16:44:56.172,,,,,,,,,,,,,,7.97071377071843,,0,,,,,,,,,,,2.26875227118579,,,,,,,,,,,,,0,9.88557062394445,,,,,,,,,,,,,,,1,0.000334033505046952,0.787950539036836,0.00200420103028171,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,8.87580787546931,,,,,,,,,,,,,,,,,,24.228,,,,,,,,,,,,,,,,,,,,14.6045529,3.232146,,8.076,,,,,,,,,,,,,,,,,,,,,,19.6078431372549,,0,0,,,,,52.3967913187871,16.802314711316,
