time,"Accelerator Pedal Angle (%)","Aircon Gate Status ()","Aircon Request ()","Altitude (GPS) (m)","Auxiliary Battery Voltage (V)","Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Battery Power (hp) ()","Battery power (kW) ()","Calculated engine load value (%)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Check Mode ()","Converter Carrier Frequency ()","Converter Gate Status ()","Converter Temperature (℃)","Crank Position (°)","Delta SOC (%)","Distance travelled (km)","Distance travelled (total) (km)","Driving Pattern 1 ()","Driving Pattern 2 ()","Driving Pattern 3 ()","Engine coolant temperature (℃)","Engine Idling Request ()","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Engine Stop Inhibit Request ()","Engine Stop Request ()","Engine Warming Up Request ()","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price (PLN)","Fuel used price (total) (PLN)","HV Battery Air Intake Temp (℃)","HV Battery Block-01 Voltage (V)","HV Battery Block-02 Voltage (V)","HV Battery Block-03 Voltage (V)","HV Battery Block-04 Voltage (V)","HV Battery Block-05 Voltage (V)","HV Battery Block-06 Voltage (V)","HV Battery Block-07 Voltage (V)","HV Battery Block-08 Voltage (V)","HV Battery Block-09 Voltage (V)","HV Battery Block-10 Voltage (V)","HV Battery Block-11 Voltage (V)","HV Battery Block-12 Voltage (V)","HV Battery Block-13 Voltage (V)","HV Battery Block-14 Voltage (V)","HV Battery Charge (kW) ()","HV Battery Current (mA)","HV Battery Discharge (kW) ()","HV Battery Fan Speed ()","HV Battery State of Charge (%)","HV Battery Temp 1 (℃)","HV Battery Temp 2 (℃)","HV Battery Temp 3 (℃)","HVAC OBD Request ()","ICE Actual RPM (rpm)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Loading Condition ()","Long term fuel % trim - Bank 1 (%)","MAF air flow rate (kg/hour)","Main Battery Charging Request ()","MG1 Gate Status ()","MG2 Gate Status ()","Motor (MG1) Torque Execute Value (N⋅m)","Motor (MG2) Torque Execute Value (N⋅m)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 1 Wide Range Voltage (V)","Power from MAF (hp)","Raising Pressure Ratio (%)","Short Circuit Wave Highest Value (V)","Short term fuel % trim - Bank 1 (%)","Smart Key Status ()","Speed (GPS) (km/h)","System Main Relay 1 Status ()","System Main Relay 2 Status ()","System Main Relay 3 Status ()","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)","VH-Voltage After Boosted (V)","VL-Voltage Before Boosted (V)","VMF Fan Motor Voltage (V)",Latitude,Longtitude,
13:49:19.018,,,,,,,,,,2.12399990558624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12399990558624,,,,,,,,,,,52.4107693741586,16.8837203644373,
13:49:19.019,,,,90.4375381469727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4107693741586,16.8837203644373,
13:49:19.219,,,,,,,,,,,,,,,1.29829466032989,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0791856463081,,,,13.932,,,,,,,14.6753922,3.256546,4.644,,,,,,,,,16.4705882352941,,,0,,,,52.4107693741586,16.8837203644373,
13:49:19.339,,,,,,,7.6665607405632,,,,,,,,1.32063400103257,,,,,,,0,16.6755094229444,,,,,,,,,,,1,4.24876938711646E-05,1.27843805870838,0.000254926163226988,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,5.16658156813701,,,,14.148,,,,,,,14.6691153,3.267526,4.716,,,,,,,,,16.4705882352941,,,0,,,,52.4107693741586,16.8837203644373,
13:49:19.450,,,,,,,7.66680183504355,,0,,,,,,1.31111360971638,,,,,,,0,16.6755094229444,,,,,,,,,,,1,8.26914266607502E-05,1.27847826244117,0.000496148559964501,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,5.12933591320367,,,,14.04,,,,,,,14.68391085,3.268746,4.68,,,,,,,,,16.4705882352941,,,0,,,,52.4107693741586,16.8837203644373,
13:49:19.550,,,,,,,7.66702109613487,,0,,,,,,1.31650941270289,,,,,,,0,16.6755094229444,,,,,,,,,,,1,0.000119254330603865,1.27851482534511,0.000715525983623189,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,5.15044536232704,,,,14.112,,,,,,,14.6960163,3.274846,4.704,,,,,,,,,16.4705882352941,,,0,,,,52.4107693741586,16.8837203644373,
13:49:19.661,,,,,,,7.66726566808488,,0,,,,,,1.31542497331845,,,,,,,0,16.6755094229444,,,,,,,,,,,1,0.000160037949174543,1.27855560896368,0.000960227695047259,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,5.14620282084242,,,,14.112,,,,,,,14.7390579,3.290706,4.704,,,,,,,,,16.4705882352941,,0,0,,,,52.4107693741586,16.8837203644373,
13:49:19.780,,,,,,,7.66751875760375,,0,,,,,,1.27812484978321,,,,,,,0,16.6755094229444,,,,,,,,,,,1,0.000202241915742129,1.27859781293025,0.00121345149445278,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,5.00027735580386,,,,13.752,,,,,,,14.73412605,3.284606,4.584,,,,,,,,,16.4705882352941,,0,0,,,,52.4107693741586,16.8837203644373,
13:49:20.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,52.4107693741586,16.8837203644373,
13:49:20.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,52.4107693741586,16.8837203644373,
