time,"Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Accelerator Pedal Angle (%)","Accumulated Time of Battery LOW (sec.)","Accumulated Time of Battery Too High (sec.)","Accumulated Time of DC Inhibit (sec.)","Accumulated Time of Hot Temperature (sec.)","Aircon Gate Status ()","Aircon Request ()","Altitude (GPS) (m)","Ambient air temperature (℃)","Auxiliary Battery Voltage (V)","Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Barometric pressure (kPa)","Battery Power (hp) ()","Battery power (kW) ()","Brake - Friction Pad Torque (N⋅m)","Brake - Master Cylinder Torque (N⋅m)","Brake - Regenerative Torque (N⋅m)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Check Mode ()","Combined Power (hp) ()","Commanded throttle actuator (%)","Converter Carrier Frequency ()","Converter Gate Status ()","Converter Temperature (℃)","Crank Position (°)","Delta SOC (%)","Discharge Request to Adjust SOC (W) ()","Distance travelled (km)","Distance travelled (total) (km)","Drive Condition ID ()","Driving Pattern 1 ()","Driving Pattern 2 ()","Driving Pattern 3 ()","Engine coolant temperature (℃)","Engine Idling Request ()","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Engine Speed (rpm)","Engine Stop Inhibit Request ()","Engine Stop Request ()","Engine Warming Up Request ()","Friction Brake Power (hp) ()","Friction Brake Power (kW) ()","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price (PLN)","Fuel used price (total) (PLN)","HV Battery Air Intake Temp (℃)","HV Battery Block # with Max V ()","HV Battery Block # with Min V ()","HV Battery Block Count ()","HV Battery Block Highest Volt (V)","HV Battery Block Lowest Volt (V)","HV Battery Block-01 Voltage (V)","HV Battery Block-02 Voltage (V)","HV Battery Block-03 Voltage (V)","HV Battery Block-04 Voltage (V)","HV Battery Block-05 Voltage (V)","HV Battery Block-06 Voltage (V)","HV Battery Block-07 Voltage (V)","HV Battery Block-08 Voltage (V)","HV Battery Block-09 Voltage (V)","HV Battery Block-10 Voltage (V)","HV Battery Block-11 Voltage (V)","HV Battery Block-12 Voltage (V)","HV Battery Block-13 Voltage (V)","HV Battery Block-14 Voltage (V)","HV Battery Charge (kW) ()","HV Battery Current (mA)","HV Battery Discharge (kW) ()","HV Battery Fan Speed ()","HV Battery Power (hp) ()","HV Battery State of Charge (%)","HV Battery Temp 1 (℃)","HV Battery Temp 2 (℃)","HV Battery Temp 3 (℃)","HVAC OBD Request ()","ICE Actual RPM (rpm)","ICE Power Request (hp) ()","Instant engine power (based on fuel consumption) (hp)","Internal Resistance R01 (mOhm)","Internal Resistance R02 (mOhm)","Internal Resistance R03 (mOhm)","Internal Resistance R04 (mOhm)","Internal Resistance R05 (mOhm)","Internal Resistance R07 (mOhm)","Internal Resistance R08 (mOhm)","Internal Resistance R08 (mOhm)","Internal Resistance R09 (mOhm)","Internal Resistance R10 (mOhm)","Internal Resistance R11 (mOhm)","Internal Resistance R12 (mOhm)","Internal Resistance R13 (mOhm)","Internal Resistance R14 (mOhm)","Loading Condition ()","Long term fuel % trim - Bank 1 (%)","MAF air flow rate (kg/hour)","Main Battery Charging Request ()","Master Cylinder Torque (N⋅m)","MG1 Gate Status ()","MG1 Inverter Temperature (℃)","MG1 Power (hp) ()","MG1 Revolution (rpm)","MG1 Torque (N⋅m)","MG1 Torque (N⋅m)","MG2 Gate Status ()","MG2 Inverter Temperature (℃)","MG2 Power (hp) ()","MG2 Revolution (rpm)","MG2 Torque (N⋅m)","MG2 Torque (N⋅m)","Motor (MG1) Torque Execute Value (N⋅m)","Motor (MG2) Torque Execute Value (N⋅m)","Motor Temperature No1 (℃)","Motor Temperature No2 (℃)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 1 Wide Range Voltage (V)","Power from MAF (hp)","Power Request (W) ()","Power Resource IB (mA)","Power Resource VB (V)","Raising Pressure Ratio (%)","Regenerative Brake Torque (N⋅m)","Request Regenerative Brake Torque (N⋅m)","Shift Sensor Main (V)","Shift Sensor Select Main (V)","Shift Sensor Select Sub (V)","Shift Sensor Shift Position ()","Shift Sensor Sub (V)","Short Circuit Wave Highest Value (V)","Short term fuel % trim - Bank 1 (%)","Smart Key Status ()","Speed (GPS) (km/h)","State Of Charge (%)","System Main Relay 1 Status ()","System Main Relay 2 Status ()","System Main Relay 3 Status ()","Target Engine Speed (rpm)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)","VH-Voltage After Boosted (V)","VL-Voltage Before Boosted (V)","VMF Fan Motor Voltage (V)","WIN HV Batt to Converter (kW) ()","WOUT HV Batt to Converter (kW) ()",Latitude,Longtitude,
13:05:55.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:05:55.088,,,,,,,,,,,,68.6394386291504,,,,,,,5.29200010299683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29200010299683,,,,,,,,,,,,,,52.4062580662336,16.9526165910223,
13:05:55.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42392024413974,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48285569371591,,,,,,,,,,,,,,,,,25.056,,,,,,,,,,,,,,,,,,,,14.6664252,3.299246,8.352,,,,,,,,,,,,,,,,,,,,,19.2156862745098,0,0,,,,,,52.4062580662336,16.9526165910223,
13:05:55.410,,,,,,,,,,,,,,,,6.65778427838751,,,,,,,,,,,,,2.3873369381202,,,,,,,,,,0,46.4965811929167,,,,,,,,,,,,,,,-1,7.92631673509979E-05,3.09564207264969,0.000475579004105988,18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.33973456065839,,,,,,,,,,,,,,,,,25.56,,,,,,,,,,,,,,,,,,,,14.7758226,3.326086,8.52,,,,,,,,,,,,,,,,,,,,,19.6078431372549,0,0,,,,,,52.4062580662336,16.9526165910223,
13:05:55.499,,,,,,,,,,,,,,,,6.65791305606611,,0,,,,,,,,,,,2.40637461250798,,,,,,,,,,0,46.4965811929167,,,,,,,,,,,,,,,-1,0.000139140385240381,3.09570194986758,0.000834842311442285,18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.41421371045702,,,,,,,,,,,,,,,,,25.956,,,,,,,,,,,,,,,,,,,,14.7381612,3.300466,8.652,,,,,,,,,,,,,,,,,,,,,19.6078431372549,0,0,,,,,,52.4062580662336,16.9526165910223,
13:05:55.589,,,,,,,,,,,,,,,,6.65804520978696,,0,,,,,,,,,,,2.45602282284527,,,,,,,,,,0,46.4965811929167,,,,,,,,,,,,,,,-1,0.000200587347353722,3.09576339682969,0.00120352408412233,18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.60844733477615,,,,,,,,,,,,,,,,,26.424,,,,,,,,,,,,,,,,,,,,14.6574582,3.267526,8.808,,,,,,,,,,,,,,,,,,,,,19.6078431372549,0,0,,,,,,52.4062580662336,16.9526165910223,
13:05:55.680,,,,,,,,,,,,,,,,6.65817917346969,,0,,,,,,,,,,,2.47963903314778,,,,,,,,,,0,46.4965811929167,,,,,,,,,,,,,,,-1,0.000262875879866394,3.0958256853622,0.00157725527919836,18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.70083862317462,,,,,,,,,,,,,,,,,26.532,,,,,,,,,,,,,,,,,,,,14.43104145,3.180906,8.844,,,,,,,,,,,,,,,,,,,,,19.6078431372549,0,0,,,,,,52.4062580662336,16.9526165910223,
13:05:55.768,,,,,,,,,,,,,,,,6.65831376591284,,0,,,,,,,,,,,2.53904723490424,,,,,,,,,,0,46.4965811929167,,,,,,,,,,,,,,,-1,0.000325456764472337,3.09588826624681,0.00195274058683402,18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.93325526544725,,,,,,,,,,,,,,,,,26.748,,,,,,,,,,,,,,,,,,,,14.32971435,3.143086,8.916,,,,,,,,,,,,,,,,,,,,,20,0,0,,,,,,52.4062580662336,16.9526165910223,
13:05:55.859,,,,,,,,,,,,,,,,6.65845237335542,,0,,,,,,,,,,,2.55700113731932,,,,,,,,,,0,46.4965811929167,,,,,,,,,,,,,,,1,0.000389904486554474,3.09595271396889,0.00233942691932684,18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0034944848081,,,,,,,,,,,,,,,,,26.748,,,,,,,,,,,,,,,,,,,,14.17727535,3.083306,8.916,,,,,,,,,,,,,,,,,,,,,20,0,0,,,,,,52.4062580662336,16.9526165910223,
13:05:55.949,,,,,,,,,,,,,,,,6.65859088254943,,0,,,,,,,,,,,2.57405952723712,,,,,,,,,,0,46.4965811929167,,,,,,,,,,,,,,,1,0.00045430652640445,3.09601711600874,0.0027258391584267,18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0702302820558,,,,,,,,,,,,,,,,,26.64,,,,,,,,,,,,,,,,,,,,14.10553935,3.057686,8.88,,,,,,,,,,,,,,,,,,,,,20,0,0,,,,,,52.4062580662336,16.9526165910223,
