time,"Accumulated Time of Battery LOW (sec.)","Accumulated Time of Battery Too High (sec.)","Accumulated Time of DC Inhibit (sec.)","Accumulated Time of Hot Temperature (sec.)","Altitude (GPS) (m)","Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Battery Power (hp) ()","Battery power (kW) ()","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price (PLN)","Fuel used price (total) (PLN)","HV Battery Block # with Max V ()","HV Battery Block # with Min V ()","HV Battery Block Count ()","HV Battery Block Highest Volt (V)","HV Battery Block Lowest Volt (V)","HV Battery Block-01 Voltage (V)","HV Battery Block-02 Voltage (V)","HV Battery Block-03 Voltage (V)","HV Battery Block-04 Voltage (V)","HV Battery Block-05 Voltage (V)","HV Battery Block-06 Voltage (V)","HV Battery Block-07 Voltage (V)","HV Battery Block-08 Voltage (V)","HV Battery Block-09 Voltage (V)","HV Battery Block-10 Voltage (V)","HV Battery Block-11 Voltage (V)","HV Battery Block-12 Voltage (V)","HV Battery Block-13 Voltage (V)","HV Battery Block-14 Voltage (V)","HV Battery Current (mA)","HV Battery State of Charge (%)","Instant engine power (based on fuel consumption) (hp)","Internal Resistance R01 (mOhm)","Internal Resistance R02 (mOhm)","Internal Resistance R03 (mOhm)","Internal Resistance R04 (mOhm)","Internal Resistance R05 (mOhm)","Internal Resistance R07 (mOhm)","Internal Resistance R08 (mOhm)","Internal Resistance R08 (mOhm)","Internal Resistance R09 (mOhm)","Internal Resistance R10 (mOhm)","Internal Resistance R11 (mOhm)","Internal Resistance R12 (mOhm)","Internal Resistance R13 (mOhm)","Internal Resistance R14 (mOhm)","MAF air flow rate (kg/hour)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 1 Wide Range Voltage (V)","Power from MAF (hp)","Speed (GPS) (km/h)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",Latitude,Longtitude,
08:38:18.732,,,,,91.9979116443859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4110345412729,16.8835262184629,
08:38:19.033,,,,,,,,,,,,,,2.48923679060665,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9.73838694976902,,,,,,,,,,,,,,,26.712,14.6144166,3.251666,8.904,,20,,0,52.4110345412729,16.8835262184629,
08:38:19.168,,,,,,,6.62303309841029,,,,,,,2.50381399568956,0,54.1042891047778,1,9.16642130798621E-05,3.58334497506902,0.000549985278479173,21.5,,,,,,,,,,,,,,,,,,,,,,9.79541586091125,,,,,,,,,,,,,,,26.712,14.7265041,3.293146,8.904,,20,,0,52.4110345412729,16.8835262184629,
08:38:19.204,,,,,102.745826721191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4110317091695,16.883527152005,
08:38:19.332,,,,,,,6.62323988055608,,0,,,,,2.46131567250002,0,54.1042891047778,1,0.000203542223055274,3.583456853079,0.00122125333833164,21.5,,,,,,,,,,,,,,,,,,,,,,9.62915401009101,,,,,,,,,,,,,,,26.46,14.72157225,3.287046,8.82,,20,,0,52.4110317091695,16.883527152005,
08:38:19.473,,,,,,,6.62341799698833,,0,,,,,2.46883993518098,0,54.1042891047778,1,0.000299910852506241,3.58355322170845,0.00179946511503745,21.5,,,,,,,,,,,,,,,,,,,,,,9.65859041476548,,,,,,,,,,,,,,,26.532,14.71081185,3.261426,8.844,,20,,0,52.4110317091695,16.883527152005,
08:38:19.567,,,,,,,6.62353865865641,,0,,,,,2.4773503996952,0,54.1042891047778,1,0.000365193990239009,3.58361850484618,0.00219116394143405,21.5,,,,,,,,,,,,,,,,,,,,,,9.69188503618299,,,,,,,,,,,,,,,26.604,14.6377308,3.251666,8.868,,20,0,0,52.4110317091695,16.883527152005,
08:38:19.704,,,,,,,6.62371219050486,,0,,,,,2.45602856226232,0,54.1042891047778,1,0.00045908216321797,3.58371239301916,0.00275449297930782,21.5,,,,,,,,,,,,,,,,,,,,,,9.60846978851149,,,,,,,,,,,,,,,26.244,14.6260737,3.260206,8.748,,20,0,0,52.4110317091695,16.883527152005,
08:38:19.858,,,,,,,6.6239083513795,,0,,,,,2.50181843551888,0,54.1042891047778,1,0.000565213609939986,3.58381852446588,0.00339128165963992,21.5,,,,,,,,,,,,,,,,,,,,,,9.78760883459822,,,,,,,,,,,,,,,26.712,14.64355935,3.258986,8.904,,20,0,0,52.4110317091695,16.883527152005,
08:38:19.990,,,,,,,6.62407742451666,,0,,,,,2.49883105243247,0,54.1042891047778,1,0.00065668942886796,3.58391000028481,0.00394013657320776,21.5,,,,,,,,,,,,,,,,,,,,,,9.77592160075512,,,,,,,,,,,,,,,26.712,14.73143595,3.291926,8.904,,20,0,0,52.4110317091695,16.883527152005,
